epoch,train_loss,val_loss,val_auc,val_accuracy
1,1.573759600520134,0.6767399771139025,0.6595117845117845,0.6166666666666667
2,1.4291332458517827,0.608948243719836,0.72334455667789,0.7166666666666667
3,1.3392663294103293,0.6956889147249361,0.7008978675645343,0.6333333333333333
4,1.3290521224552716,1.0799175973709982,0.672699214365881,0.5666666666666667
5,1.3269063108196828,0.6580255785025656,0.7194163860830529,0.6666666666666666
6,1.378028633839459,0.7543592036701738,0.6853254769921437,0.65
7,1.4059543648883042,1.0443558383733034,0.6773288439955106,0.6
8,1.4622026056317567,0.7790841017190057,0.7297979797979798,0.675
9,1.2324318515730246,0.9737115798712087,0.6405723905723906,0.6166666666666667
10,1.2934953938584477,0.7937887947152679,0.7491582491582491,0.6333333333333333
11,1.344993074571681,0.9968268620587575,0.7062289562289562,0.5583333333333333
12,1.3323131590653046,0.839618201367557,0.7028619528619529,0.6416666666666667
13,1.3185623300552318,0.7668350815850621,0.7427048260381595,0.6666666666666666
14,1.2754313131843784,0.631834125937894,0.7511223344556679,0.7416666666666667
15,1.396165540167625,0.6954530449584126,0.7382154882154882,0.7
