epoch,train_loss,val_loss,val_auc,val_accuracy
1,1.1073969329352928,1.7409252446455261,0.41329966329966333,0.4583333333333333
2,1.0176943032351216,1.6783056810925094,0.5538720538720538,0.4583333333333333
3,0.9588716562606592,1.8248902727675158,0.5064534231200897,0.4583333333333333
4,0.9370241362898223,1.5962080241627215,0.5540123456790124,0.45
5,0.9196707069478204,1.447790762463895,0.4984567901234568,0.4666666666666667
6,0.9035908439913682,1.0545916198869236,0.6355218855218855,0.475
7,0.887885659853969,1.2539701537054497,0.6186868686868686,0.44166666666666665
8,0.8722711265746471,1.1888961033832552,0.644219977553311,0.4666666666666667
9,0.8892646207086807,1.3983227503340458,0.5185185185185185,0.4583333333333333
10,0.8739221167181973,1.673119755624551,0.6024130190796857,0.43333333333333335
