epoch,train_loss,val_loss,val_auc,val_accuracy
1,1.1052434642230515,0.5516103300265968,0.7875982042648709,0.7
2,1.0110018585899234,0.669030271959491,0.7436868686868687,0.7166666666666667
3,0.9789223244759889,0.677997157513164,0.7331649831649831,0.6916666666666667
4,0.9822973027825356,0.6573308170792491,0.7598204264870931,0.6833333333333333
5,0.9407283184011426,0.6690467697102577,0.7915263748597082,0.725
6,0.9308292638411564,0.6356033663944497,0.7721661054994389,0.7416666666666667
7,0.9775334851140469,0.6073528087969559,0.7890011223344556,0.7583333333333333
8,0.9073634827460072,0.5393154477661786,0.8096240179573513,0.7666666666666667
9,0.8931136343595201,0.7140811695702723,0.7920875420875421,0.6583333333333333
10,0.8924217545946614,0.844622747890268,0.7933501683501682,0.625
