epoch,supcon_loss
1,1.9344939860239836
2,1.9323645300743446
3,1.9317773405173924
4,1.9311560615897179
5,1.9299666300206118
6,1.932175952508311
7,1.9320835229468492
8,1.9322646561957582
9,1.9320256760422612
10,1.9321429671745904
