lr,weight_decay,dropout,accumulation_steps,optimizer,val_auc
0.0003,0.1,0.3,8,SGD,0.7043
0.0001,0.1,0.3,4,SGD,0.5076
0.0001,0.1,0.5,8,AdamW,0.9607
0.0001,0.0001,0.5,8,SGD,0.5227
0.0003,0.0,0.0,8,AdamW,0.853
0.0001,0.0001,0.5,16,SGD,0.6047
