preset,loss,auc,accuracy,precision,recall,f1,sensitivity,specificity,tp,tn,fp,fn,n_pos,n_neg
none,0.5613300796753417,0.792648709315376,0.6833333333333333,0.6333333333333333,0.7037037037037037,0.6666666666666667,0.7037037037037037,0.6666666666666666,38,44,22,16,54,66
light,0.7770889227588972,0.6954264870931538,0.5166666666666667,0.48148148148148145,0.9629629629629629,0.6419753086419752,0.9629629629629629,0.15151515151515152,52,10,56,2,54,66
medium,1.1888961033832552,0.644219977553311,0.4666666666666667,0.45614035087719296,0.9629629629629629,0.6190476190476191,0.9629629629629629,0.06060606060606061,52,4,62,2,54,66
strong,0.5393154477661786,0.8096240179573513,0.7666666666666667,0.76,0.7037037037037037,0.7307692307692308,0.7037037037037037,0.8181818181818182,38,54,12,16,54,66
